iter	Passed	Remaining
544	14923	9830
545	14952	9804
546	14982	9778
547	15021	9758
548	15047	9730
549	15073	9701
550	15100	9674
551	15129	9647
552	15158	9621
553	15187	9594
554	15213	9566
555	15239	9538
556	15263	9509
557	15293	9482
558	15321	9456
559	15346	9427
560	15372	9398
561	15399	9370
562	15427	9343
563	15451	9314
564	15479	9287
565	15506	9259
566	15532	9231
567	15568	9209
568	15597	9182
569	15622	9154
570	15649	9126
571	15676	9098
572	15702	9070
573	15727	9042
574	15755	9014
575	15782	8987
576	15807	8958
577	15831	8929
578	15857	8900
579	15885	8873
580	15913	8846
581	15938	8818
582	15971	8793
583	15996	8765
584	16024	8738
585	16050	8709
586	16074	8680
587	16102	8653
588	16131	8626
589	16155	8598
590	16184	8571
591	16211	8543
592	16239	8516
593	16265	8488
594	16292	8461
595	16320	8433
596	16347	8406
597	16374	8378
598	16399	8350
599	16425	8322
600	16454	8295
601	16480	8267
602	16509	8241
603	16537	8213
604	16563	8185
605	16588	8157
606	16613	8128
607	16640	8101
608	16666	8073
609	16692	8045
610	16717	8016
611	16741	7987
612	16768	7960
613	16798	7934
614	16827	7907
615	16856	7880
616	16882	7852
617	16910	7825
618	16937	7798
619	16962	7769
620	16987	7741
621	17014	7713
622	17042	7686
623	17070	7659
624	17097	7632
625	17124	7604
626	17149	7576
627	17176	7548
628	17203	7521
629	17230	7493
630	17260	7467
631	17286	7439
632	17315	7413
633	17344	7386
634	17370	7358
635	17397	7331
636	17424	7303
637	17453	7276
638	17479	7249
639	17507	7222
640	17535	7194
641	17561	7166
642	17588	7139
643	17615	7111
644	17639	7083
645	17668	7056
646	17693	7028
647	17720	7000
648	17761	6978
649	17786	6950
650	17813	6922
651	17840	6895
652	17865	6867
653	17889	6838
654	17918	6811
655	17943	6783
656	17971	6756
657	17997	6728
658	18024	6701
659	18048	6672
660	18074	6644
661	18099	6616
662	18128	6589
663	18167	6566
664	18192	6538
665	18220	6511
666	18246	6483
667	18274	6456
668	18299	6428
669	18324	6399
670	18354	6373
671	18378	6345
672	18437	6328
673	18473	6304
674	18499	6276
675	18527	6248
676	18551	6220
677	18578	6192
678	18604	6164
679	18631	6137
680	18656	6109
681	18684	6081
682	18711	6054
683	18739	6027
684	18766	5999
685	18816	5979
686	18845	5952
687	18871	5924
688	18899	5897
689	18924	5869
690	18953	5842
691	18982	5815
692	19011	5788
693	19040	5761
694	19065	5733
695	19093	5706
696	19120	5678
697	19149	5651
698	19174	5623
699	19202	5596
700	19227	5568
701	19253	5540
702	19282	5513
703	19312	5486
704	19340	5459
705	19365	5431
706	19393	5403
707	19422	5376
708	19448	5348
709	19476	5321
710	19502	5293
711	19530	5266
712	19555	5238
713	19582	5211
714	19608	5183
715	19636	5155
716	19661	5127
717	19689	5100
718	19717	5073
719	19743	5045
720	19769	5017
721	19796	4990
722	19822	4962
723	19853	4935
724	19883	4909
725	19911	4881
726	19939	4854
727	19969	4827
728	19995	4800
729	20026	4773
730	20053	4745
731	20080	4718
732	20110	4691
733	20138	4664
734	20164	4636
735	20188	4608
736	20215	4580
737	20245	4553
738	20271	4526
739	20301	4499
740	20336	4473
741	20362	4445
742	20418	4424
743	20448	4397
744	20475	4369
745	20505	4343
746	20534	4315
747	20561	4288
748	20590	4261
749	20618	4233
750	20647	4206
751	20671	4178
752	20698	4150
753	20723	4122
754	20750	4095
755	20778	4067
756	20805	4040
757	20833	4012
758	20860	3985
759	20887	3957
760	20913	3929
761	20942	3902
762	20984	3877
763	21011	3850
764	21037	3822
765	21062	3794
766	21092	3767
767	21121	3740
768	21150	3712
769	21177	3685
770	21204	3657
771	21233	3630
772	21260	3602
773	21288	3575
774	21314	3547
775	21342	3520
776	21370	3492
777	21399	3465
778	21424	3437
779	21453	3410
780	21478	3382
781	21506	3355
782	21535	3327
783	21574	3302
784	21598	3274
785	21627	3246
786	21654	3219
787	21681	3191
788	21708	3164
789	21737	3136
790	21766	3109
791	21790	3081
792	21826	3055
793	21853	3027
794	21879	2999
795	21906	2972
796	21936	2945
797	21964	2917
798	21991	2889
799	22017	2862
800	22048	2835
801	22079	2808
802	22109	2780
803	22134	2753
804	22161	2725
805	22187	2697
806	22215	2670
807	22240	2642
808	22267	2614
809	22294	2587
810	22323	2559
811	22348	2532
812	22375	2504
813	22401	2476
814	22428	2449
815	22457	2421
816	22484	2394
817	22514	2367
818	22540	2339
819	22567	2311
820	22596	2284
821	22621	2256
822	22647	2228
823	22675	2201
824	22704	2174
825	22729	2146
826	22759	2119
827	22785	2091
828	22811	2063
829	22839	2036
830	22868	2008
831	22897	1981
832	22922	1953
833	22949	1926
834	22977	1898
835	23004	1871
836	23030	1843
837	23054	1815
838	23080	1788
839	23105	1760
840	23133	1732
841	23161	1705
842	23188	1677
843	23217	1650
844	23244	1622
845	23273	1595
846	23301	1568
847	23327	1540
848	23353	1512
849	23381	1485
850	23407	1457
851	23436	1430
852	23463	1402
853	23491	1375
854	23519	1347
855	23545	1320
856	23571	1292
857	23596	1265
858	23625	1237
859	23650	1210
860	23677	1182
861	23706	1155
862	23735	1127
863	23767	1100
864	23797	1072
865	23825	1045
866	23853	1017
867	23880	990
868	23905	962
869	23932	935
870	23959	907
871	23987	880
872	24016	852
873	24056	825
874	24084	798
875	24112	770
876	24142	743
877	24168	715
878	24195	688
879	24224	660
880	24249	633
881	24277	605
882	24303	577
883	24330	550
884	24355	522
885	24383	495
886	24409	467
887	24439	440
888	24463	412
889	24489	385
890	24516	357
891	24544	330
892	24571	302
893	24599	275
894	24628	247
895	24656	220
896	24680	192
897	24708	165
898	24734	137
899	24759	110
900	24789	82
901	24821	55
902	24849	27
903	24877	0
